2018-12-04 17:40:00.961 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual logging.path is [ ./logs ]
2018-12-04 17:40:00.968 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.infra Logback ]
2018-12-04 17:40:00.983 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.antcloud.mw.access in Java -D argument, put value uPxHLxsMmstcQCNWEh into System
2018-12-04 17:40:00.983 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.antcloud.antvip.endpoint in Java -D argument, put value 100.103.1.174 into System
2018-12-04 17:40:00.983 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.antcloud.mw.secret in Java -D argument, put value TyMlUB9uGRMzcc2pG0dMv6xzUXCMA1WI into System
2018-12-04 17:40:00.984 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.alipay.env in Java -D argument, put value shared into System
2018-12-04 17:40:00.984 [main] INFO  c.a.boot.sofarpc.configuration.Slite2Configuration - Not find key com.alipay.instanceid in Java -D argument, put value IPYJUBMB231N into System
2018-12-04 17:40:00.996 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.rpc Logback ]
2018-12-04 17:40:01.012 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.6.Final
2018-12-04 17:40:01.030 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual logging.path is [ ./logs ]
2018-12-04 17:40:01.030 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.runtime Logback ]
2018-12-04 17:40:01.045 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual logging.path is [ ./logs ]
2018-12-04 17:40:01.046 [main] INFO  com.alipay.sofa.common.log - Sofa-Middleware-Log SLF4J : Actual binding is of type [ com.alipay.sofa.healthcheck Logback ]
2018-12-04 17:40:01.075 [main] INFO  cloud.provider.SOFABootSpringApplication - Starting SOFABootSpringApplication on DESKTOP-SL1Q8O9 with PID 18160 (F:\IdeaProjects\CSII\xingye-sofa-rpc\xingye-sofa-rpc-provider\bank-sofa-provider-service\target\classes started by LYF in F:\IdeaProjects\CSII\xingye-sofa-rpc)
2018-12-04 17:40:01.076 [main] INFO  cloud.provider.SOFABootSpringApplication - No active profile set, falling back to default profiles: default
2018-12-04 17:40:01.115 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@54d9d12d: startup date [Tue Dec 04 17:40:01 CST 2018]; root of context hierarchy
